"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"U24","SOT-363/SC-70-6","-874.016mil","1059.055mil","-874.016mil","1059.055mil","-836.614mil","1033.465mil","T","90.00","MIC94060, SC-70-6"
"SW4","ALPS_SKQM","1192.913mil","2051.181mil","1192.913mil","2051.181mil","1192.913mil","1909.449mil","B","90.00","ALP_SKQM"
"RN20","EXB-28V","-246.063mil","888.287mil","-246.063mil","887.795mil","-224.41mil","919.291mil","B","270.00","10KNI, EXB-28V"
"RN19","EXB-28V","-79.232mil","598.425mil","-78.74mil","598.425mil","-110.236mil","620.079mil","B","360.00","10KNI, EXB-28V"
"RN8","EXB-28V","169.291mil","912.894mil","169.291mil","913.386mil","147.638mil","881.89mil","B","90.00","10KNI, EXB-28V"
"R61","0402R","-1759.842mil","2144.685mil","-1759.842mil","2144.685mil","-1759.842mil","2127.953mil","T","90.00","10K, 0402"
"R60","0402R","1338.583mil","1677.165mil","1338.583mil","1677.165mil","1321.85mil","1677.165mil","B","360.00","10K, 0402"
"R57","0402R","1342.52mil","1523.622mil","1342.52mil","1523.622mil","1359.252mil","1523.622mil","B","180.00","10K, 0402"
"R52","0402R","1740.158mil","996.063mil","1740.158mil","996.063mil","1756.89mil","996.063mil","B","180.00","10K, 0402"
"R32","0402R","-51.181mil","818.898mil","-51.181mil","818.898mil","-51.181mil","835.63mil","B","270.00","33, 0402"
"Q6","SOT-563","1342.52mil","1602.362mil","1342.52mil","1602.362mil","1362.205mil","1570.866mil","B","180.00","2N7002V, SOT-563"
"Q1","SOT-523","-244.095mil","783.465mil","-244.095mil","783.465mil","-216.535mil","803.15mil","B","270.00","2N7002T, SOT-523"
"C156","0402C","165.354mil","1779.528mil","165.354mil","1779.528mil","148.622mil","1779.528mil","T","0.00","1UF_10V, 0402"
"C154","0402C","70.866mil","901.575mil","70.866mil","901.575mil","87.598mil","901.575mil","B","180.00","1UF_10V, 0402"
"C142","0402C","98.425mil","1157.48mil","98.425mil","1157.48mil","98.425mil","1140.748mil","B","90.00","0.1UF_16V, 0402"
"R1","0402R","1196.85mil","1818.898mil","1196.85mil","1818.898mil","1196.85mil","1835.63mil","B","270.00","1K, 0402"
"C116","0805C","1468.504mil","2031.496mil","1468.504mil","2031.496mil","1429.134mil","2031.496mil","B","360.00","10UF_10V, 0805"
"C53","0402C","-1818.898mil","527.559mil","-1818.898mil","527.559mil","-1818.898mil","544.291mil","B","270.00","0.1UF_16V, 0402"
"C52","0402C","-1681.102mil","2244.095mil","-1681.102mil","2244.095mil","-1664.37mil","2244.095mil","T","180.00","0.1UF_16V, 0402"
"C49","0402C","-204.724mil","1917.323mil","-204.724mil","1917.323mil","-204.724mil","1900.591mil","T","90.00","1UF_10V, 0402"
"C40","0402C","-685.039mil","885.827mil","-685.039mil","885.827mil","-701.772mil","885.827mil","B","360.00","0.1UF_16V, 0402"
"C39","0402C","-578.74mil","937.008mil","-578.74mil","937.008mil","-578.74mil","953.74mil","B","270.00","0.1UF_16V, 0402"
"U12","MICROpack10","-1740.158mil","527.559mil","-1740.158mil","527.559mil","-1769.685mil","552.165mil","B","360.00","FSA832L10X, MICROPAK10"
"X4","X3225","-870.079mil","897.638mil","-870.079mil","897.638mil","-837.598mil","850.394mil","T","90.00","24MHZ, X3225"
"X3","X3225","775.591mil","657.48mil","775.591mil","657.48mil","808.071mil","704.724mil","B","270.00","25MHZ, X3225"
"X2","X3225","-39.37mil","1055.118mil","-39.37mil","1055.118mil","-86.614mil","1087.598mil","B","360.00","24MHZ, X3225"
"X1","1206X","-318.898mil","1822.835mil","-318.898mil","1822.835mil","-259.842mil","1822.835mil","T","180.00","32.768KHZ-12, 1206"
"VR1","SOT-553","-279.528mil","1822.834mil","-279.528mil","1822.835mil","-299.213mil","1854.331mil","B","360.00","BH18PB1WHFV, SOT-553"
"U28","SOT-23-5","1775.591mil","1889.764mil","1775.591mil","1889.764mil","1738.189mil","1937.008mil","B","360.00","LMR64010XMF, SOT-23-5"
"U27","SOT-23-6","311.024mil","409.449mil","311.024mil","409.449mil","273.622mil","362.205mil","T","360.00","LTC4412, SOT-23-6"
"U26","SOT-23-5","-1350.394mil","960.63mil","-1350.394mil","960.63mil","-1397.638mil","923.228mil","B","90.00","AP2141, SOT-23-5"
"U25","QFN36","-578.74mil","826.772mil","-578.74mil","826.772mil","-657.48mil","704.725mil","T","360.00","USB2514BI-AEZG, QFN36"
"U24","SOT-363/SC-70-6","1653.543mil","1649.606mil","1653.543mil","1649.606mil","1679.134mil","1612.205mil","B","180.00","MIC94060, SC-70-6"
"U22","SOT-363/SC-70-6","-1681.102mil","2145.669mil","-1681.102mil","2145.669mil","-1706.693mil","2108.268mil","T","0.00","MIC94060, SC-70-6"
"U21","SOT-23-5","-1173.228mil","480.315mil","-1173.228mil","480.315mil","-1135.827mil","433.071mil","B","180.00","AP2141, SOT-43-5"
"U20","mlp12","-1086.86mil","2114.173mil","-1086.614mil","2114.173mil","-1144.685mil","2163.386mil","T","270.00","FAN5354MPX, MLP12"
"U19","mlp12","-728.1mil","1858.268mil","-728.346mil","1858.268mil","-670.276mil","1809.055mil","T","90.00","FAN5354MPX, MLP12"
"U18","mlp12","609.99mil","629.921mil","610.236mil","629.921mil","552.165mil","679.134mil","T","270.00","FAN5354MPX, MLP12"
"U17","DFN10","472.441mil","129.921mil","472.441mil","129.921mil","531.496mil","90.551mil","T","90.00","MCP73123-22S, DFN10"
"U16","QFN24","-1740.158mil","701.279mil","-1740.158mil","700.787mil","-1690.945mil","622.047mil","B","180.00","CP2104-F03-GM, QFN24"
"U15","SON10","-1370.079mil","1149.606mil","-1370.079mil","1149.606mil","-1409.449mil","1208.661mil","B","360.00","TPS61232DRC, SON10"
